Before Entering printParticalVariable function
1.30930734e-01 1 0 844437815230464 0.00000000e+00
1.30930734e-01 1 0 844437815230465 0.00000000e+00
1.30930734e-01 1 0 844437815230466 0.00000000e+00
1.30930734e-01 1 0 844437815230467 0.00000000e+00
2.61861468e-01 1 0 844437815230464 0.00000000e+00
2.61861468e-01 1 0 844437815230465 0.00000000e+00
2.61861468e-01 1 0 844437815230466 0.00000000e+00
2.61861468e-01 1 0 844437815230467 0.00000000e+00
3.92792202e-01 1 0 844437815230464 0.00000000e+00
3.92792202e-01 1 0 844437815230465 0.00000000e+00
3.92792202e-01 1 0 844437815230466 0.00000000e+00
3.92792202e-01 1 0 844437815230467 0.00000000e+00
5.23722937e-01 1 0 844437815230464 0.00000000e+00
5.23722937e-01 1 0 844437815230465 0.00000000e+00
5.23722937e-01 1 0 844437815230466 0.00000000e+00
5.23722937e-01 1 0 844437815230467 0.00000000e+00
6.54653671e-01 1 0 844437815230464 0.00000000e+00
6.54653671e-01 1 0 844437815230465 0.00000000e+00
6.54653671e-01 1 0 844437815230466 0.00000000e+00
6.54653671e-01 1 0 844437815230467 0.00000000e+00
7.85584405e-01 1 0 844437815230464 0.00000000e+00
7.85584405e-01 1 0 844437815230465 0.00000000e+00
7.85584405e-01 1 0 844437815230466 0.00000000e+00
7.85584405e-01 1 0 844437815230467 0.00000000e+00
9.16515139e-01 1 0 844437815230464 0.00000000e+00
9.16515139e-01 1 0 844437815230465 0.00000000e+00
9.16515139e-01 1 0 844437815230466 0.00000000e+00
9.16515139e-01 1 0 844437815230467 0.00000000e+00
1.04744587e+00 1 0 844437815230464 0.00000000e+00
1.04744587e+00 1 0 844437815230465 0.00000000e+00
1.04744587e+00 1 0 844437815230466 0.00000000e+00
1.04744587e+00 1 0 844437815230467 0.00000000e+00
1.17837661e+00 1 0 844437815230464 0.00000000e+00
1.17837661e+00 1 0 844437815230465 0.00000000e+00
1.17837661e+00 1 0 844437815230466 0.00000000e+00
1.17837661e+00 1 0 844437815230467 0.00000000e+00
1.30139289e+00 1 0 844437815230464 0.00000000e+00
1.30139289e+00 1 0 844437815230465 0.00000000e+00
1.30139289e+00 1 0 844437815230466 0.00000000e+00
1.30139289e+00 1 0 844437815230467 0.00000000e+00
